,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
FGF18_FGFR1_2,FGF18_FGFR1_2,FGF,fgf18a,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18a - fgfr1bl"
FGF18_FGFR1_3,FGF18_FGFR1_3,FGF,fgf18a,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18a - fgfr1b"
FGF18_FGFR1_4,FGF18_FGFR1_4,FGF,fgf18b,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18b - fgfr1a"
FGF18_FGFR1_5,FGF18_FGFR1_5,FGF,fgf18b,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18b - fgfr1bl"
FGF18_FGFR1_6,FGF18_FGFR1_6,FGF,fgf18b,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18b - fgfr1b"
FGF18_FGFR2_1,FGF18_FGFR2_1,FGF,fgf18a,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18a - fgfr2"
FGF18_FGFR2_2,FGF18_FGFR2_2,FGF,fgf18b,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18b - fgfr2"
FGF18_FGFR3_1,FGF18_FGFR3_1,FGF,fgf18a,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18a - fgfr3"
FGF18_FGFR3_2,FGF18_FGFR3_2,FGF,fgf18b,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18b - fgfr3"
FGF20_FGFR1_1,FGF20_FGFR1_1,FGF,fgf20a,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20a - fgfr1a"
FGF20_FGFR1_2,FGF20_FGFR1_2,FGF,fgf20a,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20a - fgfr1bl"
FGF20_FGFR1_3,FGF20_FGFR1_3,FGF,fgf20a,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20a - fgfr1b"
FGF20_FGFR1_4,FGF20_FGFR1_4,FGF,fgf20b,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20b - fgfr1a"
FGF20_FGFR1_5,FGF20_FGFR1_5,FGF,fgf20b,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20b - fgfr1bl"
FGF20_FGFR1_6,FGF20_FGFR1_6,FGF,fgf20b,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20b - fgfr1b"
FGF20_FGFR2_1,FGF20_FGFR2_1,FGF,fgf20a,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20a - fgfr2"
FGF20_FGFR2_2,FGF20_FGFR2_2,FGF,fgf20b,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20b - fgfr2"
FGF20_FGFR3_1,FGF20_FGFR3_1,FGF,fgf20a,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20a - fgfr3"
FGF20_FGFR3_2,FGF20_FGFR3_2,FGF,fgf20b,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf20b - fgfr3"
FGF16_FGFR1_1,FGF16_FGFR1_1,FGF,fgf16,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf16 - fgfr1a"
FGF16_FGFR1_2,FGF16_FGFR1_2,FGF,fgf16,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf16 - fgfr1bl"
FGF16_FGFR1_3,FGF16_FGFR1_3,FGF,fgf16,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf16 - fgfr1b"
FGF16_FGFR2,FGF16_FGFR2,FGF,fgf16,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf16 - fgfr2"
FGF16_FGFR3,FGF16_FGFR3,FGF,fgf16,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf16 - fgfr3"
FGF15_FGFR1_1,FGF15_FGFR1_1,FGF,fgf19,fgfr1a,,,"FGF activation receptor 2",,"PMC: 4393358","Secreted Signaling","fgf19 - fgfr1a"
FGF15_FGFR1_2,FGF15_FGFR1_2,FGF,fgf19,fgfr1bl,,,"FGF activation receptor 2",,"PMC: 4393358","Secreted Signaling","fgf19 - fgfr1bl"
FGF15_FGFR1_3,FGF15_FGFR1_3,FGF,fgf19,fgfr1b,,,"FGF activation receptor 2",,"PMC: 4393358","Secreted Signaling","fgf19 - fgfr1b"
FGF15_FGFR2,FGF15_FGFR2,FGF,fgf19,fgfr2,,,"FGF activation receptor 2",,"PMC: 4393358","Secreted Signaling","fgf19 - fgfr2"
FGF15_FGFR3,FGF15_FGFR3,FGF,fgf19,fgfr3,,,"FGF activation receptor 2",,"PMC: 4393358","Secreted Signaling","fgf19 - fgfr3"
FGF23_FGFR1_1,FGF23_FGFR1_1,FGF,fgf23,fgfr1a,,,"FGF activation receptor 3",,"PMC: 4393358","Secreted Signaling","fgf23 - fgfr1a"
FGF23_FGFR1_2,FGF23_FGFR1_2,FGF,fgf23,fgfr1bl,,,"FGF activation receptor 3",,"PMC: 4393358","Secreted Signaling","fgf23 - fgfr1bl"
FGF23_FGFR1_3,FGF23_FGFR1_3,FGF,fgf23,fgfr1b,,,"FGF activation receptor 3",,"PMC: 4393358","Secreted Signaling","fgf23 - fgfr1b"
